date,instrument,weight
2021-12-31,cl1s,0.15154746680540018
2021-12-31,rb1s,0.6294164237882224
2022-01-03,cl1s,0.0
2022-01-03,rb1s,0.0
2022-01-04,cl1s,0.0861716948198543
2022-01-04,rb1s,0.47273836824829873
2022-01-05,cl1s,0.24685207872074236
2022-01-05,rb1s,0.6228027065822002
2022-01-06,cl1s,0.71832641646563
2022-01-06,rb1s,0.5775734421893656
2022-01-07,cl1s,0.737955798028164
2022-01-07,rb1s,0.37331554235995146
2022-01-10,cl1s,0.817578138788882
2022-01-10,rb1s,0.23962716196075406
2022-01-11,cl1s,0.0
2022-01-11,rb1s,0.0
2022-01-12,cl1s,0.0
2022-01-12,rb1s,0.0
2022-01-13,cl1s,0.0
2022-01-13,ng1s,-0.0
2022-01-13,rb1s,0.0
2022-01-14,cl1s,0.0
2022-01-14,ng1s,-0.0
2022-01-14,rb1s,-0.0
2022-01-18,cl1s,0.0
2022-01-18,ng1s,-0.0
2022-01-18,rb1s,-0.0
2022-01-19,cl1s,0.0
2022-01-19,rb1s,0.0
2022-01-20,cl1s,0.0
2022-01-20,rb1s,0.0
2022-01-21,cl1s,0.503869303694472
2022-01-21,rb1s,-0.0
2022-01-24,cl1s,0.9813171211287854
2022-01-24,rb1s,0.7101683242002138
2022-01-25,cl1s,0.952007720963479
2022-01-25,ng1s,-0.0
2022-01-25,rb1s,0.46030326624112494
2022-01-26,cl1s,1.0180064598479879
2022-01-26,ng1s,-0.0
2022-01-26,rb1s,0.5494388024403829
2022-01-27,cl1s,1.1094017914210135
2022-01-27,ng1s,-0.37309168590038827
2022-01-27,rb1s,0.46601279636464604
2022-01-28,cl1s,1.4543103725780082
2022-01-28,ng1s,-0.6582155578945859
2022-01-28,rb1s,1.1736916170093428
2022-01-31,cl1s,1.1165814985264588
2022-01-31,ng1s,-0.6293140062639163
2022-01-31,rb1s,0.6985714951310071
2022-02-01,cl1s,0.6768854787832694
2022-02-01,ng1s,-0.2669749297677236
2022-02-01,rb1s,0.8019754346746275
2022-02-02,cl1s,0.7832299676491764
2022-02-02,ng1s,-0.6256379631671779
2022-02-02,rb1s,0.900911429491898
2022-02-03,ng1s,-0.0
2022-02-03,rb1s,0.0
2022-02-04,ng1s,-0.0
2022-02-04,rb1s,0.0
2022-02-07,rb1s,0.20588037684328736
2022-02-08,ng1s,-0.026817934145118925
2022-02-08,rb1s,-0.5170855781344222
2022-02-09,ng1s,-0.0
2022-02-09,rb1s,0.7536475575053239
2022-02-10,cl1s,1.17163098659051
2022-02-10,ng1s,-0.0
2022-02-10,rb1s,1.1726292264972724
2022-02-11,ng1s,-0.0
2022-02-11,rb1s,0.8455816708342313
2022-02-14,ng1s,-0.0
2022-02-14,rb1s,-0.4551137709343381
2022-02-15,cl1s,0.8109757455300242
2022-02-15,ng1s,-0.0
2022-02-15,rb1s,0.8064514594079498
2022-02-16,cl1s,0.7373219886670492
2022-02-16,ng1s,-0.3341392997006836
2022-02-16,rb1s,0.7735277951198948
2022-02-17,cl1s,0.7000604756344835
2022-02-17,ng1s,-0.2684600054413729
2022-02-17,rb1s,0.5451134887708738
2022-02-18,cl1s,0.7371951609396972
2022-02-18,ng1s,-0.3123595894080243
2022-02-18,rb1s,1.1203417017920656
2022-02-22,cl1s,1.1330139791439038
2022-02-22,ng1s,-0.49865238238017967
2022-02-22,rb1s,1.0579618504279338
2022-02-23,cl1s,0.0
2022-02-23,ng1s,-0.41603000033775905
2022-02-23,rb1s,0.0
2022-02-24,cl1s,0.0
2022-02-24,ng1s,-0.5292092487853663
2022-02-24,rb1s,0.0
2022-02-25,cl1s,0.16047449764131258
2022-02-25,ng1s,-0.4889554351121593
2022-02-25,rb1s,0.6384270666670704
2022-02-28,cl1s,0.6415109466328922
2022-02-28,ng1s,-0.39391346684531914
2022-02-28,rb1s,0.23678680869473373
2022-03-01,ng1s,-0.0
2022-03-01,rb1s,0.10193713444793888
2022-03-02,ng1s,-0.0
2022-03-02,rb1s,-0.0
2022-03-03,cl1s,0.8099334444484338
2022-03-03,ng1s,-0.0
2022-03-03,rb1s,-0.276814050453948
2022-03-04,ng1s,-0.2278973418391796
2022-03-04,rb1s,-0.20559552048244956
2022-03-07,ng1s,-0.0
2022-03-07,rb1s,-0.06249733465664921
2022-03-08,ng1s,-0.0
2022-03-08,rb1s,-0.0
2022-03-09,ng1s,-0.0
2022-03-09,rb1s,-0.0
2022-03-10,ng1s,-0.0
2022-03-10,rb1s,-0.0
2022-03-11,ng1s,-0.0
2022-03-11,rb1s,-0.0
2022-03-14,cl1s,-0.0
2022-03-14,ng1s,-0.0
2022-03-14,rb1s,-0.0
2022-03-15,ng1s,-0.0
2022-03-15,rb1s,0.0
2022-03-16,ng1s,-0.0
2022-03-16,rb1s,0.0
2022-03-17,ng1s,-0.0
2022-03-17,rb1s,-0.0
2022-03-18,cl1s,-0.0
2022-03-18,rb1s,-0.0
2022-03-21,cl1s,-0.0
2022-03-21,rb1s,-0.0
2022-03-22,cl1s,-0.0
2022-03-22,rb1s,-0.0
2022-03-23,cl1s,-0.0
2022-03-23,rb1s,-0.0
2022-03-24,cl1s,-0.0
2022-03-24,rb1s,-0.03489121436391253
2022-03-25,cl1s,-0.0
2022-03-25,rb1s,-0.018806372745879076
2022-03-28,cl1s,-0.0754409631833315
2022-03-28,rb1s,-0.28344144763543566
2022-03-29,rb1s,-0.16089359307224388
2022-03-30,rb1s,-0.09283939705082415
2022-03-31,rb1s,0.3593624053779069
2022-04-01,rb1s,0.10949422848221618
2022-04-04,rb1s,0.15293584934191543
2022-04-05,rb1s,0.09766190839349279
2022-04-06,rb1s,0.269791935612624
2022-04-07,rb1s,0.270937630400634
2022-04-08,rb1s,0.2700397410869255
2022-04-11,rb1s,0.6134212373875323
2022-04-12,rb1s,0.34441888404461996
2022-04-13,cl1s,-0.0
2022-04-13,rb1s,0.23332966721347803
2022-04-14,cl1s,-0.0
2022-04-14,rb1s,-0.05972516830057862
2022-04-18,rb1s,-0.06988602156821026
2022-04-19,rb1s,-0.196724139218097
2022-04-20,rb1s,-0.27238620469018465
2022-04-21,rb1s,-0.0
2022-04-22,rb1s,-0.0
2022-04-25,rb1s,0.33922090407823885
2022-04-26,rb1s,-0.0
2022-04-27,cl1s,0.0
2022-04-27,rb1s,-0.0
2022-04-28,cl1s,0.0
2022-04-28,rb1s,-0.0
2022-04-29,cl1s,0.0
2022-04-29,rb1s,-0.0
2022-05-02,cl1s,0.0
2022-05-02,rb1s,-0.0
2022-05-03,cl1s,0.0
2022-05-03,rb1s,-0.0
2022-05-04,cl1s,0.0
2022-05-04,ng1s,-0.19302092989615463
2022-05-04,rb1s,-0.0
2022-05-05,cl1s,0.0
2022-05-05,ng1s,-0.02049525422335186
2022-05-05,rb1s,-0.0
2022-05-06,cl1s,0.0
2022-05-06,ng1s,-0.0
2022-05-06,rb1s,-0.0
2022-05-09,cl1s,0.0
2022-05-09,rb1s,-0.0
2022-05-10,cl1s,0.3076206017547823
2022-05-10,rb1s,0.43954214388469376
2022-05-11,cl1s,0.0
2022-05-11,rb1s,0.0
2022-05-12,cl1s,0.0
2022-05-12,rb1s,-0.0
2022-05-13,cl1s,0.0
2022-05-13,rb1s,-0.0
2022-05-16,cl1s,0.0
2022-05-16,rb1s,-0.0
2022-05-17,cl1s,0.0
2022-05-17,ng1s,-0.0
2022-05-17,rb1s,-0.0
2022-05-18,cl1s,0.0
2022-05-18,ng1s,-0.0
2022-05-18,rb1s,-0.0
2022-05-19,cl1s,0.0
2022-05-19,ng1s,-0.0
2022-05-19,rb1s,-0.0
2022-05-20,cl1s,0.0
2022-05-20,rb1s,-0.0
2022-05-23,cl1s,0.0
2022-05-23,rb1s,-0.0
2022-05-24,cl1s,0.0
2022-05-24,rb1s,-0.0014620967933804522
2022-05-25,cl1s,0.0
2022-05-25,ng1s,-0.0
2022-05-25,rb1s,0.0
2022-05-26,cl1s,0.0
2022-05-26,rb1s,0.0
2022-05-27,cl1s,0.0
2022-05-27,rb1s,-0.0
2022-05-31,cl1s,0.6599385945466297
2022-05-31,ho1s,-0.3843364467080177
2022-05-31,rb1s,-0.0
2022-06-01,cl1s,0.0
2022-06-01,ng1s,-0.0
2022-06-01,rb1s,-0.0
2022-06-02,cl1s,0.0
2022-06-02,ng1s,-0.0
2022-06-02,rb1s,-0.0
2022-06-03,cl1s,0.0
2022-06-03,ng1s,-0.0
2022-06-03,rb1s,-0.0
2022-06-06,cl1s,0.0
2022-06-06,ng1s,-0.0
2022-06-06,rb1s,-0.0
2022-06-07,cl1s,0.2737356757524287
2022-06-07,ng1s,-0.07187784767895611
2022-06-07,rb1s,-0.0
2022-06-08,cl1s,0.0
2022-06-08,ng1s,-0.0
2022-06-08,rb1s,-0.0
2022-06-09,cl1s,0.0
2022-06-09,rb1s,-0.0
2022-06-10,cl1s,0.13179126393825924
2022-06-10,rb1s,-0.0
2022-06-13,cl1s,0.1004244836837452
2022-06-13,rb1s,0.0
2022-06-14,cl1s,0.4057019347834412
2022-06-14,rb1s,0.0
2022-06-15,cl1s,0.44043356668580963
2022-06-15,rb1s,0.0
2022-06-16,cl1s,0.02597786424257756
2022-06-16,rb1s,0.0
2022-06-17,cl1s,0.3269764217784238
2022-06-17,ng1s,-0.0
2022-06-17,rb1s,0.044444198923669555
2022-06-21,cl1s,0.2527060718633651
2022-06-21,ng1s,-0.0
2022-06-21,rb1s,0.11415173505743266
2022-06-22,cl1s,0.4687378518456432
2022-06-22,ng1s,-0.0
2022-06-22,rb1s,0.45449722861682007
2022-06-23,cl1s,0.2928743701856206
2022-06-23,rb1s,0.365312253057081
2022-06-24,cl1s,0.47784205694257825
2022-06-24,rb1s,0.4754199803892603
2022-06-27,cl1s,0.0
2022-06-27,rb1s,0.2086263886813198
2022-06-28,cl1s,0.0
2022-06-28,rb1s,-0.0
2022-06-29,cl1s,0.37752317851880945
2022-06-29,rb1s,-0.08502659715501353
